network,address,normalizedAddress,trackedStatus,inDeployments,inOpenZeppelin,hasCode,creator,creationTxHash,files,keys
unknown,0x8BEceC0fFbc93bBd94DEcaa9Bbf7b2CfDd286d55,0x8becec0ffbc93bbd94decaa9bbf7b2cfdd286d55,deployments_only,true,false,,,,deployments/base-sepolia-migration-latest.json|deployments/ethereum-sepolia-spoke-1764759110560.json|deployments/verification-1764758815943.json,deployment.myntis|hub|myntis|results.11.actual|results.11.expected|results.13.actual|results.13.expected|results.6.actual|results.6.expected|results.8.actual|results.8.expected
unknown,0x8D7817B77692Ad0B1D0D399F889A3158104291a5,0x8d7817b77692ad0b1d0d399f889a3158104291a5,deployments_only,true,false,,,,deployments/emissions-optionb-1766817016180.json|deployments/zk-distributor-optionb-1767728267700.json,staking|stakingContract
unknown,0xB7976Bc67327cCD41435c5a555ADbf8B987F8E1E,0xb7976bc67327ccd41435c5a555adbf8b987f8e1e,deployments_only,true,false,,,,deployments/base-sepolia-migration-latest.json|deployments/verification-1764758815943.json,deployment.liquidStakingVault|liquidStakingVault|results.10.actual|results.10.expected
unknown,0xC24e30632a02950d476d27D2De6Ceb7F2C5E9978,0xc24e30632a02950d476d27d2de6ceb7f2c5e9978,deployments_only,true,false,,,,deployments/base-sepolia-migration-latest.json|deployments/verification-1764758815943.json,deployment.rewardClaimVerifier|results.14.actual|results.14.expected|rewardClaimVerifier
unknown,0xc345E2ECb99F30a419215330706196Cc234ff991,0xc345e2ecb99f30a419215330706196cc234ff991,deployments_only,true,false,,,,deployments/reward-weighting-registry-84532-1764763269527.json|deployments/reward-weighting-registry-84532-latest.json,rewardWeightingRegistry
unknown,0xEa382d47e68799c4acA4e5948B1735C5d70C6760,0xea382d47e68799c4aca4e5948b1735c5d70c6760,deployments_only,true,false,,,,deployments/reward-weighting-registry-84532-1764763269527.json|deployments/reward-weighting-registry-84532-latest.json,rewardWeightingRegistryImpl
zksync-sepolia,0x5242925C716225C58459f557E5B4Be51373aB767,0x5242925c716225c58459f557e5b4be51373ab767,deployments_only,true,false,false,,,deployments/emissions-optionb-1766817016180.json|deployments/ethereum-sepolia-spoke-1770381410089.json|deployments/ethereum-sepolia-spoke-latest.json|deployments/zk-distributor-optionb-1766817028733.json|deployments/zk-distributor-optionb-1767728267700.json,spoke|token
zksync-sepolia,0x67Ae52ee859c552CAfabFC08D00bb68D3a2e57bB,0x67ae52ee859c552cafabfc08d00bb68d3a2e57bb,deployments_only,true,false,false,,,deployments/zk-distributor-optionb-1766817028733.json,verifier
zksync-sepolia,0x725bC5d5C75Dc6afB4e61A43fbC35909866e4C8e,0x725bc5d5c75dc6afb4e61a43fbc35909866e4c8e,deployments_only,true,false,false,,,deployments/zk-distributor-optionb-1767728267700.json,groth16Verifier
zksync-sepolia,0x89C6C4e7F952C1c07467E32Ea2fF0660f6d4C627,0x89c6c4e7f952c1c07467e32ea2ff0660f6d4c627,deployments_only,true,false,false,,,deployments/arbitrum-sepolia-oft-v2-spoke.json|deployments/deployment-base-sepolia-2026-02-03T19-30-41-174Z.json|deployments/deployment-base-sepolia-2026-02-07T20-30-22-290Z.json|deployments/deployment-base-sepolia-latest.json|deployments/emissions-optionb-1766817016180.json|deployments/ethereum-sepolia-oft-v2-spoke.json|deployments/ethereum-sepolia-spoke-1770381410089.json|deployments/ethereum-sepolia-spoke-latest.json|deployments/optimism-sepolia-oft-v2-spoke.json|deployments/spoke-distributor-optionb-1766817121658.json|deployments/spoke-distributor-optionb-latest.json|deployments/zk-distributor-optionb-1766817028733.json|deployments/zk-distributor-optionb-1767728267700.json,admin|deployer
zksync-sepolia,0x8D7817B77692Ad0B1D0D399F889A3158104291a5,0x8d7817b77692ad0b1d0d399f889a3158104291a5,deployments_only,true,false,false,,,deployments/emissions-optionb-1766817016180.json|deployments/zk-distributor-optionb-1767728267700.json,staking|stakingContract
zksync-sepolia,0xebd5dd492DB4ec069698ACfCCa34FC9dc400737D,0xebd5dd492db4ec069698acfcca34fc9dc400737d,deployments_only,true,false,false,,,deployments/zk-distributor-optionb-1767728267700.json,zkMerkleDistributor
zksync-sepolia,0xf74dF81441D120E4e4EF1c5bCa9bcde6f44256C8,0xf74df81441d120e4e4ef1c5bca9bcde6f44256c8,deployments_only,true,false,false,,,deployments/zk-distributor-optionb-1766817028733.json,zkMerkleDistributor
